Id;ProductId;UserId;ProfileName;HelpfulnessNumerator;HelpfulnessDenominator;Score;Time;Summary;Text
1;B001E4KFG0;A3SGXH7AUHU8GW;Delmartian;1;1;5;1303862400;Good Quality Dog Food;I have bought several of the Vitality canned dog food products and have found them all to be of good quality. The product looks more like a stew than a processed meat and it smells better. My Labrador is finicky and she appreciates this product better than  most.
2;B00813GRG4;A1D87F6ZCVE5NK;Dll Pa;0;0;1;1346976000;Not as Advertised;Product arrived labeled as Jumbo Salted Peanuts...the peanuts were actually small sized unsalted. Not sure if this was an error or if the vendor intended to represent the product as Jumbo.
3;B000LQOCH0;ABXLMWJIXXAIN;Natalia Corres Natalia Corres;1;1;4;1219017600; Delight  says it all;This is a confection that has been around a few centuries.  It is a light
4;B000UA0QIQ;A395BORC6FGVXV;Karl;3;3;2;1307923200;Cough Medicine;If you are looking for the secret ingredient in Robitussin I believe I have found it.  I got this in addition to the Root Beer Extract I ordered (which was good) and made some cherry soda.  The flavor is very medicinal.
5;B006K2ZZ7K;A1UQRSCLF8GW1T;Michael D. Bigham M. Wassir;0;0;5;1350777600;Great taffy;Great taffy at a great price.  There was a wide assortment of yummy taffy.  Delivery was very quick.  If your a taffy lover
6;B006K2ZZ7K;ADT0SRK1MGOEU;Twoapennything;0;0;4;1342051200;Nice Taffy;I got a wild hair for taffy and ordered this five pound bag. The taffy was all very enjoyable with many flavors: watermelon
7;B006K2ZZ7K;A1SP2KVKFXXRU1;David C. Sullivan;0;0;5;1340150400;Great!  Just as good as the expensive brands!;This saltwater taffy had great flavors and was very soft and chewy.  Each candy was individually wrapped well.  None of the candies were stuck together
8;B006K2ZZ7K;A3JRGQVEQN31IQ;Pamela G. Williams;0;0;5;1336003200;Wonderful; tasty taffy
9;B000E7L2R4;A1MZYO9TZK0BBI;R. James;1;1;5;1322006400;Yay Barley;Right now I'm mostly just sprouting this so my cats can eat the grass. They love it. I rotate it around with Wheatgrass and Rye too
10;B00171APVA;A21BT40VZCCYT4;Carol A. Reed;0;0;5;1351209600;Healthy Dog Food;This is a very healthy dog food. Good for their digestion. Also good for small puppies. My dog eats her required amount at every feeding.
11;B0001PB9FE;A3HDKO7OW0QNK4;Canadian Fan;1;1;5;1107820800;The Best Hot Sauce in the World;I don't know if it's the cactus or the tequila or just the unique combination of ingredients
12;B0009XLVG0;A2725IB4YY9JEB;A Poeng Sparkygohome;4;4;5;1282867200;My cats LOVE this  diet  food better than their regular food;One of my boys needed to lose some weight and the other didn't.  I put this food on the floor for the chubby guy
13;B0009XLVG0;A327PCT23YH90;Lt;1;1;1;1339545600;My Cats Are Not Fans of the New Food;My cats have been happily eating Felidae Platinum for more than two years. I just got a new bag and the shape of the food is different. They tried the new food when I first put it in their bowls and now the bowls sit full and the kitties will not touch the food. I've noticed similar reviews related to formula changes in the past. Unfortunately
14;B001GVISJM;A18ECVX2RJ7HUE;Willie Roadie;2;2;4;1288915200;fresh and greasy!;good flavor! these came securely packed... they were fresh and delicious! i love these Twizzlers!
15;B001GVISJM;A2MUGFV2TDQ47K;Lynrie Oh Hell No;4;5;5;1268352000;Strawberry Twizzlers - Yummy;The Strawberry Twizzlers are my guilty pleasure - yummy. Six pounds will be around for a while with my son and I.
16;B001GVISJM;A1CZX3CP8IKQIJ;Brian A. Lee;4;5;5;1262044800;Lots of twizzlers; just what you expect.
17;B001GVISJM;A3KLWF6WQ5BNYO;Erica Neathery;0;0;2;1348099200;poor taste;I love eating them and they are good for watching TV and looking at movies! It is not too sweet. I like to transfer them to a zip lock baggie so they stay fresh so I can take my time eating them.
18;B001GVISJM;AFKW14U97Z6QO;Becca;0;0;5;1345075200;Love it!;I am very satisfied with my Twizzler purchase.  I shared these with others and we have all enjoyed them.  I will definitely be ordering more.
19;B001GVISJM;A2A9X58G2GTBLP;Wolfee1;0;0;5;1324598400;GREAT SWEET CANDY!;Twizzlers
20;B001GVISJM;A3IV7CL2C13K2U;Greg;0;0;5;1318032000;Home delivered twizlers;Candy was delivered very fast and was purchased at a reasonable price.  I was home bound and unable to get to a store so this was perfect for me.
21;B001GVISJM;A1WO0KGLPR5PV6;Mom2Emma;0;0;5;1313452800;Always fresh;My husband is a Twizzlers addict.  We've bought these many times from Amazon because we're government employees living overseas and can't get them in the country we are assigned to.  They've always been fresh and tasty
22;B001GVISJM;AZOF9E17RGZH8;Tammy Anderson;0;0;5;1308960000;TWIZZLERS;I bought these for my husband who is currently overseas. He loves these
23;B001GVISJM;ARYVQL4N737A1;Charles Brown;0;0;5;1304899200;Delicious product!;I can remember buying this candy as a kid and the quality hasn't dropped in all these years. Still a superb product you won't be disappointed with.
24;B001GVISJM;AJ613OLZZUG7V;Mare'S;0;0;5;1304467200;Twizzlers;I love this candy.  After weight watchers I had to cut back but still have a craving for it.
25;B001GVISJM;A22P2J09NJ9HKE;S. Cabanaugh Jilly Pepper;0;0;5;1295481600;Please sell these in Mexico!!;I have lived out of the US for over 7 yrs now
26;B001GVISJM;A3FONPR03H3PJS;Deborah S. Linzer Cat Lady;0;0;5;1288310400;Twizzlers - Strawberry;Product received is as advertised.<br /><br /><a href=http://www.amazon.com/gp/product/B001GVISJM>Twizzlers
27;B001GVISJM;A3RXAU2N8KV45G;Lady21;0;1;1;1332633600;Nasty No flavor;The candy is just red 
28;B001GVISJM;AAAS38B98HMIK;Heather Dube;0;1;4;1331856000;Great Bargain for the Price;I was so glad Amazon carried these batteries.  I have a hard time finding them elsewhere because they are such a unique size.  I need them for my garage door opener.<br />Great deal for the price.
29;B00144C10S;A2F4LZVGFLD1OB;Daisyh;0;0;5;1338854400;YUMMY!;I got this for my Mum who is not diabetic but needs to watch her sugar intake
30;B0001PB9FY;A3HDKO7OW0QNK4;Canadian Fan;1;1;5;1107820800;The Best Hot Sauce in the World;I don't know if it's the cactus or the tequila or just the unique combination of ingredients
31;B003F6UO7K;AFM0O9480F04W;Sherril;0;0;5;1297641600;Great machine!;I have never been a huge coffee fan. However
32;B003F6UO7K;A31OQO709M20Y7;Molly V. Smith Staral;0;1;5;1288310400;THIS IS MY TASTE...;This offer is a great price and a great taste
33;B001EO5QW8;AOVROBZ8BNTP7;S. Potter;19;19;4;1163376000;Best of the Instant Oatmeals;McCann's Instant Oatmeal is great if you must have your oatmeal but can only scrape together two or three minutes to prepare it. There is no escaping the fact
34;B001EO5QW8;A3PMM0NFVEJGK9;Megan Bad At Nicknames;13;13;4;1166313600;Good Instant;This is a good instant oatmeal from the best oatmeal brand.  It uses cane sugar instead of high fructouse corn syrup
35;B001EO5QW8;A2EB6OGOWCRU5H;Corbyjames;9;9;5;1175212800;Great Irish oatmeal for those in a hurry!;Instant oatmeal can become soggy the minute the water hits the bowl. McCann's Instant Oatmeal holds its texture
36;B001EO5QW8;A2CI0RLADCRKPF;T. J. Ryan;3;3;4;1210464000;satisfying;McCann's Instant Irish Oatmeal
37;B001EO5QW8;A1MYS9LFFBIYKM;Abby Chase Gluten Free;2;2;5;1190851200;Love Gluten Free Oatmeal!!!;For those of us with celiac disease this product is a lifesaver and what could be better than getting it at almost half the price of the grocery or health food store!  I love McCann's instant oatmeal - all flavors!!!<br /><br />Thanks
38;B001EO5QW8;A3MGP2E1ZZ6GRB;Zardoz Focuspuller;1;1;5;1238457600;it's oatmeal;What else do you need to know? Oatmeal
39;B001EO5QW8;A2GHZ2UTV2B0CD;Jerry Reith;0;0;4;1350777600;GOOD WAY TO START THE DAY....;I WAS VISITING MY FRIEND NATE THE OTHER MORNING FOR COFFEE 
40;B001EO5QW8;AO80AC8313NIZ;Kypondman;0;0;5;1317168000;Wife's favorite Breakfast;I ordered this for my wife as it was reccomended by our daughter.  She has this almost every morning and likes all flavors.  She's happy
41;B001EO5QW8;AQCY5KRO7489S;Garrett;0;0;5;1303430400;Why wouldn't you buy oatmeal from Mcanns? Tastes great!;The variety packs taste great!<br /><br />I have them every morning. At $0.30 cents per meal
42;B001EO5QW8;A1WK4ALVZDYPUE;Dick Baldwin Christobe;0;0;5;1302134400;Oatmeal For Oatmeal Lovers;McCann's makes oatmeal for every oatmeal connoisseur
43;B001EO5QW8;A16XFOYQSJREL7;Roger Pugliese;0;0;5;1287014400;Food-Great;I have McCann's Oatmeal every morning and by ordering it from Amazon I am able to save almost $3.00 per box.<br />It is a great product. Tastes great and very healthy
44;B001EO5QW8;A17DW6SUOC70DJ;Mother Of 9;0;0;5;1255392000;Good Hot Breakfast;McCann's Oatmeal is a good quality choice.  Our favorite is the Apples and Cinnamon
45;B001EO5QW8;A2G7B7FKP2O2PU;D. Leschke;0;0;5;1209686400;Great taste and convenience;We really like the McCann's steel cut oats but find we don't cook it up too often.<br />This tastes much better to me than the grocery store brands and is just as convenient.<br />Anything that keeps me eating oatmeal regularly is a good thing.
46;B001EO5QW8;A39Z97950MCTQE;K. A. Freel;0;0;3;1205193600;Hearty Oatmeal;This seems a little more wholesome than some of the supermarket brands
47;B001EO5QW8;AQLL2R1PPR46X;Grumpyrainbow;0;0;5;1192752000;good;Good oatmeal.  I like the apple cinnamon the best.  Though I wouldn't follow the directions on the package since it always comes out too soupy for my taste.  That could just be me since I like my oatmeal really thick to add some milk on top of.
48;B001EO5QW8;A26AY1TFK8BQXQ;Kbogo Shoelover;1;2;3;1200096000;Mushy;The flavors are good.  However
49;B001EO5QW8;ALOR97KTZTK1P;Knitty Pants;1;2;4;1191715200;Very good but next time I won't order the Variety Pack;I really like the Maple and Brown Sugar flavor. The regular is fine with brown sugar added. The Apples and Cinnamon flavor is OK. This is a very quick
50;B001EO5QW8;A276999Y6VRSCQ;Jmay;0;1;3;1334016000;Same stuff;This is the same stuff you can buy at the big box stores.  There is nothing healthy about it.  It is just carbs and sugars.  Save your money and get something that at least has some taste.
51;B001EO5QW8;A108P30XVUFKXY;Roberto A;0;7;1;1203379200;Don't like it;This oatmeal is not good. Its mushy
52;B000G6RPMY;A3S5KJDA6ED2PS;Mike Kaser;4;4;5;1243900800;HOT!  And good!  Came back for more  :);Got a free package of these with a bottle of bloody mary mix I bought from the seller
